0,Energy [keV],Photon flux at 1 m [1/cm2/keV/s] (normalized)
74,17.4,0.003541779833426287
75,17.5,0.0037090428810874236
76,17.6,0.003884499354300748
77,17.7,0.0040685624187802565
78,17.8,0.0042616666179684315
79,17.9,0.004464269928587055
80,18.0,0.004676854993967702
81,18.1,0.004851696035266745
82,18.2,0.005030644067095962
83,18.3,0.00521651930517477
84,18.4,0.0054096054155157655
85,18.5,0.005610190175233173
86,18.6,0.005818577805847746
87,18.7,0.006035076639981872
88,18.8,0.0062600196768677245
89,18.9,0.006493748137940745
90,19.0,0.00673661557794127
91,19.1,0.006930996685296283
92,19.2,0.007131371778830468
93,19.3,0.007337925858117256
94,19.4,0.007550864478238239
95,19.5,0.007770384972071741
96,19.6,0.00799670933910588
97,19.7,0.00823004724552388
98,19.8,0.008470633024118752
99,19.9,0.008718696896581878
100,20.0,0.008974481417909533
101,20.1,0.009182277049889127
102,20.2,0.009390574236267801
103,20.3,0.009604034966296023
104,20.4,0.009822786684124377
105,20.5,0.010046973278309978
106,20.6,0.010276730415206676
107,20.7,0.010512210205574845
108,20.8,0.01075355242686997
109,20.9,0.01100092152315732
110,21.0,0.011254465494095643
111,21.1,0.01145459392153192
112,21.2,0.01165873889526247
113,21.3,0.011866990859523193
114,21.4,0.01207943614744836
115,21.5,0.012296156981070602
116,21.6,0.012517247915727454
117,21.7,0.012742799395654814
118,21.8,0.012972905976190215
119,21.9,0.01320766632377282
120,22.0,0.01344717910484179
121,22.1,0.013641654767534334
122,22.2,0.013832952548665494
123,22.3,0.014027419989154775
124,22.4,0.014225102311120128
125,22.5,0.01442606118108603
126,22.6,0.014630345932272063
127,22.7,0.014838022342304334
128,22.8,0.015049143855504057
129,22.9,0.015263772138395712
130,23.0,0.01548196474640214
131,23.1,0.015651814910320173
132,23.2,0.015824016624371596
133,23.3,0.015998598666267835
134,23.4,0.016175598035923576
135,23.5,0.016355043511050243
136,23.6,0.01653697209156252
137,23.7,0.01672142077737509
138,23.8,0.01690841834619938
139,23.9,0.01709801002015334
140,24.0,0.01729022457694839
141,24.1,0.017435116242859736
142,24.2,0.017574042700303327
143,24.3,0.01771456426518006
144,24.4,0.01785669327079483
145,24.5,0.018000446161554162
