**** CALCULATED SPECTRUM ****
Energy[keV]  N[keV cm^2 mAs]^-1 @ 1 meter
10  13.444
11  280.9321
12  2920.816
13  16568.44
14  64602.62
15  178957.3
16  393246.1
17  716859
18  1.137616e+6
19  1.638640e+6
20  2.182987e+6
21  2.737579e+6
22  3.270943e+6
23  3.765892e+6
24  4.205740e+6
25  4.559417e+6
26  4.881097e+6
27  5.132940e+6
28  5.334094e+6
29  5.475543e+6
30  5.557642e+6
31  5.609516e+6
32  5.631911e+6
33  5.622274e+6
34  5.586971e+6
35  5.527569e+6
36  5.451204e+6
37  5.362909e+6
38  5.264135e+6
39  5.153275e+6
40  5.039536e+6
41  4.919575e+6
42  4.795150e+6
43  4.669436e+6
44  4.543400e+6
45  4.415884e+6
46  4.290335e+6
47  4.164649e+6
48  4.038710e+6
49  3.916960e+6
50  3.795435e+6
51  3.675965e+6
52  3.558567e+6
53  3.444799e+6
54  3.333730e+6
55  3.223972e+6
56  3.117294e+6
57  3.012056e+6
58  6.725066e+6
59  9.457034e+6
60  2.714938e+6
61  2.620220e+6
62  2.528994e+6
63  2.438719e+6
64  2.352702e+6
65  2.266339e+6
66  2.184517e+6
67  4.286563e+6
68  2.024418e+6
69  2.516215e+6
70  1.792595e+6
71  1.725545e+6
72  1.660655e+6
73  1.596708e+6
74  1.534173e+6
75  1.472306e+6
76  1.411409e+6
77  1.351607e+6
78  1.293750e+6
79  1.235483e+6
80  1.178968e+6
81  1.122533e+6
82  1.068394e+6
83  1.013508e+6
84  959712.7
85  906026.9
86  853979
87  801299.8
88  750013.5
89  697439.8
90  646675.6
91  594224
92  543573.5
93  490688.1
94  439382.2
95  382345.4
96  326763.4
97  271480.4
98  217818.9
99  107295.6
100  0
