% Model:              run40_lam_rot_200_out.mph
% Version:            COMSOL 5.2.1.262
% Date:               Jan 11 2018, 09:13
% Dimension:          1
% Nodes:              26
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
# p = 300 W
# r_beam = 2 mm
# d_Cu = 3 mm
# 3l/min water flowrate at 20 degC
z_mm                      T_degC
-20                       141.9018741419103
-19.997500000000006       133.71520686121744
-19.995000000000008       125.53913768121754
-18.995                   49.148823643483354
-17.995000000000005       42.53476359666979
-16.994999999999997       41.762780144954036
-16.980317277192018       40.414126591566
-16.95983560135349        38.53541861762915
-16.931264671380873       35.96179441521042
-16.891409629931307       32.62989240224789
-16.835813808217857       28.72318179313055
-16.758260372577656       24.87221151812929
-16.65007714595686        22.018024279570056
-16.499166868088764       20.578958995544156
-16.28865445615957        20.112618897398477
-15.995000000000003       20.01979509381522
-15.701345543840427       20.00364451163199
-15.490833131911232       19.999731219465502
-15.339922854043138       19.999895271406785
-15.231739627422336       19.99997416923236
-15.154186191782143       19.999994735588075
-15.098590370068674       20.00000011888517
-15.058735328619122       20.000001602178656
-15.030164398646496       20.00000197330428
-15.009682722807975       20.000002042929964
-14.994999999999997       20.000002048406657
