% Model:              run40_lam_rot_25_out.mph
% Version:            COMSOL 5.2.1.262
% Date:               Jan 11 2018, 09:09
% Dimension:          1
% Nodes:              26
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
# p = 300 W
# r_beam = 2 mm
# d_Cu = 3 mm
# 3l/min water flowrate at 20 degC
z_mm                      T_degC
-20                       216.85336192084003
-19.997500000000006       208.66204142074565
-19.995000000000008       200.4722685405335
-18.995                   106.04336390184528
-17.995000000000005       80.56255639328572
-16.994999999999997       73.49316282044731
-16.980317277192018       68.34903138156068
-16.95983560135349        61.186405663796904
-16.931264671380873       51.69928660315816
-16.891409629931307       41.01812248047207
-16.835813808217857       31.391497487315974
-16.758260372577656       24.993852682555882
-16.65007714595686        21.810170207428314
-16.499166868088764       20.509311052420912
-16.28865445615957        20.101148954192695
-15.995000000000003       20.01790713522621
-15.701345543840427       20.003095609911554
-15.490833131911232       19.99970812474561
-15.339922854043138       19.999910872183648
-15.231739627422336       19.9999769838318
-15.154186191782143       19.9999956157734
-15.098590370068674       20.000000563889444
-15.058735328619122       20.00000193026665
-15.030164398646496       20.000002272211134
-15.009682722807975       20.0000023363433
-14.994999999999997       20.000002341386107
