% Model:              run40_lam_6_1_300_output.mph
% Version:            COMSOL 5.2.1.262
% Date:               Jan 12 2018, 17:29
% Dimension:          1
% Nodes:              26
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         297.9519974920132
0.0024999999999977263     289.7611691392815
0.0049999999999954525     281.5726317944461
0.33833333333333115       235.5449775785293
0.6716666666666598        211.84480701957534
1.004999999999999         203.69822865858708
1.016012042105988         180.24796948777743
1.0313732989848745        148.7826649078915
1.0528014964643369        110.10102192771984
1.082692777551511         71.94457255835897
1.1243896438366114        42.387010454893755
1.182554720566742         26.905121468305197
1.2636921405323456        21.594744778913253
1.3768748489334186        20.30021194274036
1.5347591578803197        20.04617357604053
1.754999999999999         20.00927974795752
1.9752408421196712        20.00453600414204
2.133125151066565         20.00146499182671
2.2463078594676418        20.000659164801675
2.3274452794332383        20.00038572909847
2.3856103561633795        20.00029406392167
2.4273072224484835        20.000264926420243
2.4571985035356505        20.00025634190871
2.4786267010151164        20.000254153057313
2.4939879578940065        20.000253740615904
2.504999999999999         20.000253708128866
