% Model:              run40_lam_2_2_300_output.mph
% Version:            COMSOL 5.2.1.262
% Date:               Jan 12 2018, 17:33
% Dimension:          1
% Nodes:              26
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
# p = 300 W
# r_beam = 2 mm
# d_Cu = 3 mm
# d_water = 1.5 mm
# 3l/min water flowrate at 20 degC
z_mm                      T_degC
0                         252.05426832608646
0.0024999999999977263     243.86334463882883
0.004999999999999005      235.67453998857354
1.004999999999992         113.50072810025188
2.004999999999992         81.13960473450783
3.004999999999999         72.16703718126115
3.016012042106002         67.39404572732423
3.031373298984885         60.742177831155175
3.0528014964643475        51.85855607095408
3.082692777551518         41.57007895329008
3.124389643836615         31.8995156675482
3.1825547205667597        25.20398303206099
3.26369214053236          21.867295512214696
3.3768748489334293        20.536626617339778
3.5347591578803197        20.110860949689027
3.7550000000000026        20.02098005159985
3.9752408421196748        20.0102324164165
4.1331251510665705        20.004230954241848
4.24630785946764          20.00212361201801
4.327445279433242         20.001357677344288
4.385610356163387         20.0010775305243
4.42730722244848          20.000985397661225
4.457198503535645         20.000957898291517
4.478626701015116         20.000950853679853
4.4939879578940065        20.000949523611098
4.504999999999999         20.0009494186574
