,rpm,p,T_max,p_dens_kWpcm2
0,25,5,23.298477483350666,0.15915494309189532
1,25,20,33.19351614827423,0.6366197723675813
2,25,80,72.7097522978438,2.546479089470325
3,25,150,118.68681001226827,4.77464829275686
4,25,300,216.8372381086075,9.54929658551372
5,60,5,22.802035649649724,0.15915494309189532
6,60,20,31.207989882717754,0.6366197723675813
7,60,80,64.77133931041772,2.546479089470325
8,60,150,103.80806121565973,4.77464829275686
9,60,300,187.09309280089678,9.54929658551372
10,150,5,22.32601373185213,0.15915494309189532
11,150,20,29.303875187839253,0.6366197723675813
12,150,80,57.15410754415535,2.546479089470325
13,150,150,89.52375011908458,4.77464829275686
14,150,300,158.51508331598194,9.54929658551372
15,300,5,21.92721741453238,0.15915494309189532
16,300,20,27.70867849094259,0.6366197723675813
17,300,80,50.77304401489431,2.546479089470325
18,300,150,77.55860511939522,4.77464829275686
19,300,300,134.58198343713417,9.54929658551372
