distance,N,S,W,E
20,237039.59700117775,469063.9538804537,266282.85875122057,269262.3948149353
25,280039.671142145,469063.9538804537,316898.3314783858,320365.4054620362
30,342097.784066899,469063.9538804537,391271.92662382557,395409.79004690575
35,439491.0823282102,545147.091634794,511260.923632967,516366.7477784654
40,614410.1726892436,650690.4147875394,737392.6803336893,743940.0993016094
45,1020621.2297111115,806912.9807529167,1322207.9904479855,1330175.6016565496
50,1148895.586903885,1061849.7105408406,1489922.5465467765,1499170.1424734143
55,1314048.6763922793,1552277.5002478731,1706365.2659950124,1717354.5224790974
60,1534654.3727147193,1734336.959240804,1996381.9044096502,2009863.5750506294
65,1844275.9100768084,1964776.5236050545,2405168.2424864615,2422472.0315832747
70,2310408.3484236347,2265835.7898256867,3024469.4922220977,3048253.370053797
75,2522958.696066289,2675851.8891560477,3306501.460588643,3327703.7026699283
80,2778579.308966358,3267042.056819755,3646541.7011501226,3663562.878633425
85,3091837.464520111,3551228.247231405,4064538.373044995,4074827.968956421
90,3484704.4547160384,3889565.0868448466,4590770.312611196,4590105.044360432
95,3991944.294451384,4299159.745361344,5273529.144025677,5254564.121863551
100,4286668.713717984,4805173.490039925,5652239.1003830675,5637390.738431307
105,4628381.132748971,5446193.854425498,6089550.294312436,6080383.247842591
110,5029291.864053921,5829372.322685129,6600205.198362616,6598934.986539817
115,5506243.063635393,6270550.116381921,7204343.995832148,7214180.019618137
120,6083135.134759072,6783973.945222405,7930223.835580189,7955944.4591735825
125,6449843.768213143,7388972.637929144,8385885.958477032,8427058.51686724
130,6863601.103096002,8112445.156219775,8897103.973003091,8957478.782838563
135,7334082.321594591,8569549.271647668,9474697.82971986,9559156.120392507
140,7873810.662298168,9081241.202622313,10132492.24119378,10247483.582628459
145,8499288.636470335,9657920.293620989,10888437.549244588,11042631.887319203
150,8921714.509653956,10312806.532649197,11391976.596886255,11579894.605030647
155,9388326.751620777,11062966.427973246,11944346.467951134,12172110.408765525
160,9906440.909817608,11576293.69349063,12553012.195900453,12828164.911198433
165,10485081.75282536,12139576.199650045,13227042.144469138,13558968.531500045
170,11135513.419564016,12760479.128843304,13977562.883596845,14378068.089833666
175,11597788.086213287,13448320.400400965,14522082.524125975,14959115.012717988
180,12100106.430770041,14214541.4958962,15110747.282564254,15589102.286205253
185,12647907.071282402,14767094.205017056,15749152.342148254,16274484.971329378
190,13247660.204603394,15364342.382875575,16443880.146706492,17022905.53392858
195,13907124.36465604,16011937.668990826,17202728.199929327,17843480.033774927
200,14399804.051737923,16716526.481167423,17767665.872655146,18460175.15414952
205,14928673.574463004,17485978.96097036,18370968.564286932,19121023.942594584
210,15497872.459493477,18052850.51407342,19016681.700616434,19830944.37703529
215,16112196.584510392,18657707.919499643,19709440.19052328,20595612.97179275
220,16777233.633904833,19304501.66438001,20454579.85664653,21421616.886198934
225,17279585.532621194,19997749.70295813,21011893.871441312,22062103.16571359
230,17812949.322452962,20742643.1441142,21600428.146703575,22742069.74897212
235,18380288.170858912,21304546.257954918,22222881.67913088,23465283.1380459
