distance,N,S,W,E
20,230986.82344287657,461813.227311203,269143.56158257823,272138.1140195168
25,272821.2508626874,461813.227311203,320342.9597012662,323828.4215994561
30,333160.53843060887,461813.227311203,395597.86200096185,399759.27791391936
35,427769.36650680925,536581.172681245,517067.17703197675,522205.2739315048
40,597421.2981235718,640235.8965017082,746185.2185980033,752781.8422621994
45,990086.2773754869,793526.3115513372,1339916.801275071,1347969.6634778136
50,1114347.0745207956,1043328.3577429836,1509824.8131535887,1519196.3674782184
55,1274274.9802457287,1522662.4158644383,1729080.715000352,1740253.1281221958
60,1487799.7454340607,1701865.2899085057,2022835.777757412,2036596.2311120136
65,1787287.8688221655,1928875.5880929984,2436831.2009658283,2454580.2025230927
70,2237734.9399921675,2225768.9266726323,3063889.666697888,3088441.1998364194
75,2443690.3760977527,2630685.07557296,3349269.4871236817,3371280.1829952598
80,2691399.990331723,3215689.466248511,3693271.8400667007,3711146.416787699
85,2994993.566802107,3496533.565154096,4116027.6705188625,4127220.690001895
90,3375786.9188816287,3831127.28151329,4648076.647163184,4648371.752608007
95,3867515.597315523,4236533.828211255,5338093.144112288,5320156.861762812
100,4153314.3049792103,4737893.595167516,5720464.625719925,5707263.697207186
105,4484722.927562875,5373845.009956101,6161841.822298621,6155124.711607087
110,4873606.372525704,5751581.594977071,6677024.892439579,6679260.352734085
115,5336335.647828623,6186436.607192765,7286215.271117979,7300969.676516513
120,5896151.456037741,6692425.193311709,8017727.020503733,8050295.748859752
125,6251653.282631103,7288556.123250304,8477554.123885227,8527483.044389274
130,6652774.867615103,8001273.316999868,8993333.533416001,9064806.205242272
135,7108899.496512114,8452738.284799697,9575939.350083435,9674397.301505167
140,7632173.204047289,8958196.839647893,10239258.64340731,10371887.120592592
145,8238602.372208824,9527951.193650195,11001312.648206286,11177764.387959609
150,8647724.745785646,10175102.519607674,11510788.956700744,11716684.489631532
155,9099603.75622478,10916570.76406978,12069744.898790833,12310203.543627707
160,9601311.58157067,11424460.819311315,12685756.448792588,12967061.558011537
165,10161571.11399394,11981915.716712812,13368029.403382685,13697969.114645276
170,10791267.420360068,12596563.177525058,14127862.573686818,14516195.914937463
175,11241689.846570622,13277680.698263414,14674584.04749806,15100369.473878019
180,11731350.915686699,14036667.077694865,15265323.084742038,15733532.151303355
185,12265611.56085872,14578674.599719403,15905618.561987996,16422116.028097011
190,12850855.886626989,15164221.145862225,16601979.341698276,17173730.730484594
195,13494747.498726286,15798772.425812531,17362106.32781525,17997445.826995287
200,13973461.479465332,16488748.960514324,17925488.736976158,18617507.765713133
205,14487388.503415788,17241744.099990465,18526659.699659217,19281819.956404276
210,15040562.202177996,17811521.30064316,19169553.116418887,19995294.502048526
215,15637656.731111426,18420243.64320308,19858668.558089286,20763598.4809052
220,16284119.165944995,19072045.358048227,20599176.731934797,21593304.78928557
225,16771858.244238848,19771667.301272213,21164572.583723355,22233528.583843872
230,17289716.806512564,20524572.45623032,21761881.77939165,22912876.60144333
235,17840573.707135923,21074037.68910674,22393884.7764178,23635048.212136295
