distance,N,S,W,E
20,235385.9295692797,465811.63355930254,267028.2834944424,269994.8128984938
25,278105.2665282818,465811.63355930254,317794.8985374416,321247.2688595232
30,339768.6427780833,465811.63355930254,392396.0582908247,396517.15133834624
35,436567.28758086526,541142.8589262754,512765.93778490357,517852.69287419517
40,610494.6125806785,645539.7859071153,739661.6520608255,746188.9431446444
45,1014780.7457702778,799845.447307052,1326732.445257923,1334694.3272900113
50,1142307.6775639905,1051091.5937107906,1494960.0324363704,1504210.907805046
55,1306494.0591713458,1532467.9133713632,1712044.593999539,1723051.9302759047
60,1525800.7372424453,1712336.5504241744,2002885.4924565856,2016410.6361972974
65,1833584.194721908,1940043.0462747402,2412764.117146131,2430157.868655533
70,2296916.605852416,2237598.9272873695,3033565.231093849,3057532.9558054847
75,2508531.501297857,2642966.3080764036,3316271.0539157623,3337891.9158832277
80,2763095.4469943014,3227702.626947317,3657084.2318551964,3674856.0052159545
85,3075160.4887358053,3508922.9297066275,4075971.8622646155,4087493.22236952
90,3466689.73464909,3843824.0966169443,4603232.6821410805,4604519.190886614
95,3972463.55184274,4249398.245617391,5287172.346170334,5271282.341187193
100,4265298.682621518,4750655.019699511,5666990.291111199,5655143.131235585
105,4604743.092384737,5385982.695571949,6105602.3069522455,6099301.198527124
110,5002886.831930063,5764264.289191946,6617805.210946926,6619174.849847162
115,5476397.12010196,6199696.643673412,7223815.760689865,7235928.910868773
120,6048910.876339948,6706289.5592880845,7952002.40163223,7979427.025721064
125,6413049.6479004035,7303039.40666078,8408799.016819308,8451687.011481594
130,6823838.32644379,8016364.445334654,8921274.729710078,8983364.749095347
135,7290854.929524586,8469007.930609891,9500270.35223328,9586426.548747204
140,7826492.147448654,8975827.429475272,10159636.321179492,10276283.190159166
145,8447073.253630461,9547168.386638738,10917355.006579977,11073125.375585752
150,8866131.596257908,10196189.399664722,11423346.76694452,11609213.562937504
155,9328939.208529832,10939888.160240361,11978520.878457913,12199850.39417921
160,9842724.4783061,11447502.615311,12590414.422734583,12853807.90193184
165,10416401.000185989,12004516.164438954,13268187.440054506,13581845.50485819
170,11061089.076500235,12618508.622783307,14023084.622767027,14397306.626159815
175,11519631.854405522,13298694.128722481,14564770.911013683,14979051.157467749
180,12017837.081923872,14056386.72137084,15149987.406972263,15609787.788754418
185,12561083.383910947,14603499.52377527,15784200.93630885,16295977.441693341
190,13155767.955075977,15194927.427102275,16473833.736320803,17045269.3351932
195,13809559.655247113,15836281.84726542,17226481.70769214,17866787.342731852
200,14298112.370339762,16534163.347351374,17789426.06071249,18481775.912162
205,14822500.778108904,17296389.636449717,18390406.316656973,19140610.45330787
210,15386817.850478835,17860124.385291822,19033412.160270926,19848153.335413974
215,15995804.533612723,18461844.36351763,19723011.477171257,20610013.48490765
220,16654983.261307778,19105522.67388773,20464459.03543012,21432695.38556405
225,17149858.708405282,19795706.529890873,21023524.474193543,22071652.031548806
230,17675043.57063238,20537624.840502553,21613993.880258784,22749876.805363886
235,18233410.333697297,21089535.116968177,22238589.766024347,23471104.398528557
