distance,N,S,W,E
20,239744.2537618616,469043.1698489752,265263.3565996806,268241.81171435985
25,283241.6839478971,469043.1698489752,315674.96108126553,319143.98979527404
30,346021.2242676336,469043.1698489752,389743.155200629,393889.32699139154
35,444555.3900109976,545100.6239689509,509224.7907487152,514353.9459686931
40,621550.0770974492,650598.009850728,734351.219914474,740966.4294220806
45,1032713.0775005649,806730.5933999143,1316268.9295827523,1324518.9048252224
50,1162386.5955847073,1061464.1401269687,1483221.4131812074,1492788.3582792408
55,1329301.497209533,1551304.668745544,1698677.7390018473,1710034.455885843
60,1552191.0378993808,1733647.354940337,1987367.5507402567,2001281.813004473
65,1864883.9236383967,1964565.3202627227,2394273.704321126,2412103.168367508
70,2335345.242708878,2266451.627692515,3010704.264027405,3035157.6354831005
75,2549589.024209429,2677962.633467799,3291477.2744474127,3313573.482877331
80,2807112.581572761,3272057.7132272497,3630005.206919865,3648226.2868230734
85,3122503.9298489927,3557150.984896144,4046151.241020452,4058069.074833055
90,3517737.036696186,3896666.178982347,4570066.478676857,4571649.490548561
95,4027523.6432769704,4307830.605305847,5249841.332773734,5234060.876693625
100,4324301.052578397,4816000.396980246,5627828.522428513,5615762.150104484
105,4668295.198236512,5460096.288291732,6064468.664879473,6057514.975352063
110,5071748.061533371,5844740.836777833,6574561.974522344,6574700.814481818
115,5551533.975442162,6287686.177494791,7178345.4537707325,7188444.524315526
120,6131579.654473093,6803274.244137209,7904241.8166579455,7928571.073263014
125,6502503.0498873405,7410971.2976190075,8358946.841104821,8398082.472674742
130,6921193.282647342,8137881.040232487,8869160.460253425,8926700.773979306
135,7397512.3466281565,8596349.321929116,9445707.825193388,9526337.203682177
140,7944237.703428292,9109559.59287179,10102424.579491954,10212333.923869401
145,8578225.623263024,9687938.79893724,10857281.584906403,11004795.208625428
150,9004980.390775157,10344741.503473371,11359263.017390842,11541432.804354671
155,9476419.028184425,11097078.100573342,11909912.350341726,12133090.570738452
160,9999947.265730625,11611119.504814161,12516667.803232076,12788687.351633184
165,10584703.060256481,12175097.155683596,13188564.735260021,13519179.775599381
170,11242094.51817322,12796659.074934017,13936688.635656955,14338179.506782454
175,11708900.621521318,13485099.09020547,14479337.077539641,14918868.792383939
180,12216152.59132497,14251824.714994162,15065955.423531562,15548578.653830457
185,12769345.041654268,14805141.396690806,15702113.545071205,16233789.963825425
190,13375015.059153784,15403157.741956592,16394363.536389923,16982178.685571536
195,14041001.744004143,16051518.340251835,17150466.213479515,17802904.658394467
200,14540427.792139782,16756859.927350758,17709972.538805872,18420062.483242158
205,15076692.445052037,17527039.390683446,18307215.96074274,19081545.851164553
210,15654027.7103392,18097367.88583482,18946147.614008565,19792307.96410327
215,16277339.635751598,18706061.674159568,19631290.16703586,20558068.577746984
220,16952348.068758257,19357126.670945216,20367845.04007524,21385468.258806035
225,17464138.206677943,20055146.606312566,20926695.94855113,22020156.27160398
230,18007792.122746006,20805391.10280976,21517079.436200853,22693669.703862175
235,18586381.159509186,21372784.758054685,22141741.769945174,23409683.528041117
