distance,N,S,W,E
20,233103.4221323951,462634.20950687927,268167.2744852614,271129.27917780034
25,275371.5435324001,462634.20950687927,319167.909855736,322613.6846546039
30,336363.6020638368,462634.20950687927,394123.09753493103,398233.8139717757
35,432060.7649935371,537502.3495952968,515089.6486676805,520158.01749957656
40,603862.8225295799,641280.9016168942,743195.5430501966,749682.6145280065
45,1002484.9335574987,794722.3401111638,1333916.381833678,1341736.3422782982
50,1128443.8119434724,1044688.4627565903,1503027.0133357178,1512166.0239545258
55,1290603.8710031859,1524052.8390321133,1721241.8077917544,1732192.0707386408
60,1507190.768299128,1703017.565051135,2013580.58055337,2027150.341769016
65,1811131.7488706093,1929605.0049268985,2425538.328101424,2443175.041472149
70,2268623.7553603495,2225741.1041452154,3049417.6120656654,3074051.452605003
75,2477721.0045611993,2629251.8695769655,3333650.5955624175,3355786.0826860205
80,2729276.226012081,3211467.746388073,3676316.124989584,3694372.7154815006
85,3037682.585791743,3491652.943221008,4097497.369113597,4108950.9489727463
90,3424667.7110633063,3825400.867765896,4627671.725286275,4628337.646914132
95,3924647.6155670923,4229694.091475428,5315434.7533697635,5298028.127227402
100,4214090.33577558,4729542.923335099,5696566.584486798,5683315.723506992
105,4549625.141956254,5363364.527425656,6136576.63000592,6129036.607851261
110,4943214.347667703,5739742.89299081,6650250.428106219,6650619.452824925
115,5411351.735940126,6172933.396976917,7257776.380064692,7269233.383804801
120,5977432.742294208,6676849.29816538,7987461.726766362,8014731.547306177
125,6337496.9337824555,7270350.8235503575,8446000.856955452,8489407.889355265
130,6743720.183847511,7979658.3405672405,8960393.432632254,9023849.7433449
135,7205586.568150807,8430668.396808222,9541506.32845799,9630102.86441627
140,7735369.387238014,8935714.732378118,10203220.940913606,10323683.25081091
145,8349237.912241711,9505127.448050858,10963556.386456601,11124923.80447407
150,8764397.419418715,10152048.922102721,11470945.21715183,11662414.11477755
155,9223004.295678794,10893460.724064743,12027576.454138152,12254477.770704253
160,9732255.42208223,11399119.015505979,12640984.202145139,12909870.835030856
165,10301030.086668408,11954006.25779831,13320322.124307144,13639328.375933135
170,10940412.11708781,12565679.42243128,14076823.340163877,14456157.057884581
175,11395741.878102768,13243325.620523755,14619212.56220551,15038106.440502841
180,11890618.336840298,13998226.712024335,15205074.02189216,15668875.199601028
185,12430427.505044641,14542483.340056548,15839852.329370722,16354875.429808248
190,13021579.962304119,15130773.851813452,16529940.90749077,17103693.55268368
195,13671766.646965772,15768667.48006468,17282898.089170717,17924372.052606124
200,14154887.570197059,16462713.960569797,17849886.958668135,18546450.09813198
205,14673403.45836304,17220669.24742111,18455339.35101786,19213259.91096764
210,15231351.936450992,17784265.867596284,19103306.631054074,19929806.219549198
215,15833409.01814197,18386001.38016643,19798429.84115385,20701869.267307132
220,16485020.467724623,19029882.67913784,20546051.03719496,21536161.080151647
225,16973637.215746757,19720498.317102313,21109460.81793162,22174722.672075406
230,17492103.96388531,20463128.02502174,21704641.23168478,22852308.928713396
235,18043242.238515127,21015934.306014042,22334357.56070634,23572610.003391523
