distance,N,S,W,E
20,236117.22440479998,467528.82125004847,266687.6708805301,269653.2549035283
25,278958.8756076944,467528.82125004847,317385.70272794354,320836.4435644988
30,340793.1708098706,467528.82125004847,391883.86169911455,396002.0371980199
35,437846.69412531576,543216.1752808525,512081.98209483374,517163.0467945419
40,612190.7730378521,648142.7805876273,738635.2470583348,745149.3755550828
45,1017241.1607080149,803308.2838990015,1324706.6885561706,1332623.6081488638
50,1145152.8876882251,1056151.0414274307,1492692.1842967987,1501920.02103043
55,1309859.5508946609,1541267.9631749752,1709469.259122335,1720491.0928921471
60,1529904.8634368863,1721987.0290557856,1999906.8773822847,2013513.17589269
65,1838809.2454752235,1950715.2195447385,2409234.0364691727,2426834.8108008383
70,2304014.8226337945,2249513.760562554,3029237.4933095635,3053674.3521691556
75,2516206.7127331044,2656405.608312995,3311689.3162761074,3333722.6110648387
80,2771447.56029782,3242998.9722720417,3652230.1508160676,3670322.852580459
85,3084316.7792317783,3525209.3272190304,4070833.768621177,4082528.764214524
90,3476815.063881857,3861217.973589646,4597816.623824714,4599036.4652967695
95,3983774.931854398,4268029.195109455,5281527.8157802345,5265167.626562917
100,4277753.603764433,4770657.372669705,5660380.38496381,5648376.035343909
105,4618576.845645002,5407473.161961134,6097784.362085994,6091744.178366671
110,5018410.77429342,5787738.444370528,6608450.105780608,6610645.467280512
115,5494033.711015474,6225531.359800258,7212466.114466822,7226179.140411049
120,6069250.635405265,6734974.588588752,7938004.096031639,7968109.690119361
125,6434700.473418853,7335225.51572269,8394706.837236324,8440015.07577398
130,6846979.991797589,8052939.329665684,8907169.234129602,8971335.782560444
135,7315706.710577468,8507324.341228615,9486266.892138476,9574046.703784084
140,7853325.248949269,9016052.779209163,10145900.384751111,10263572.474658955
145,8476228.512292998,9589493.730921036,10904125.5656964,11060126.140969241
150,8897058.676524337,10240833.44946457,11408987.97019946,11597251.468212534
155,9361858.864204505,10987101.813982405,11962870.395357784,12189209.750859555
160,9877900.178980893,11495448.545481715,12573276.589838536,12844849.13722383
165,10454150.431386424,12053117.242690107,13249324.166783495,13575029.709251726
170,11101799.705689933,12667652.027927356,14002203.134600703,14393229.80321664
175,11563797.458503915,13348218.247334236,14543855.876097694,14975203.845751258
180,12065916.620447597,14106062.69539425,15129100.845817616,15606223.940585952
185,12613620.845711991,14655582.94463443,15763421.139275659,16292762.894771537
190,13213413.000609968,15249653.270787572,16453259.656447297,17042484.91697013
195,13873094.577662304,15893920.124439733,17206238.727753125,17864532.955059394
200,14363725.429304421,16595026.251885826,17769101.733501125,18478428.98386655
205,14890331.515030684,17360840.5765151,18370035.713374976,19136018.27870165
210,15457020.216601785,17927411.963675354,19013038.439704403,19842137.686396465
215,16068548.919933695,18532211.05019298,19702687.720634274,20602365.32565707
220,16730458.89284695,19179241.864412013,20444250.556045342,21423168.2492648
225,17228042.791909453,19873087.84840014,21006909.38268432,22062331.955372456
230,17756131.421243217,20619020.59889417,21601415.252508126,22740807.64703679
235,18317618.657269754,21176547.638971433,22230550.775722068,23462337.244273867
