0,Energy [keV],Photon flux at 1 m [1/cm2/keV/s]
250,35.0,2211027600.0
251,35.1,2207832400.0
252,35.2,2204669200.0
253,35.3,2201537600.0
254,35.4,2198437600.0
255,35.5,2195368400.0
256,35.6,2192330400.0
257,35.7,2189323200.0
258,35.8,2186346000.0
259,35.9,2183398800.0
260,36.0,2180481600.0
261,36.1,2177446400.0
262,36.2,2173734800.0
263,36.3,2170055200.0
264,36.4,2166406800.0
265,36.5,2162790000.0
266,36.6,2159203600.0
267,36.7,2155648400.0
268,36.8,2152123600.0
269,36.9,2148628800.0
270,37.0,2145163600.0
271,37.1,2141073600.0
272,37.2,2137015200.0
273,37.3,2132988400.0
274,37.4,2128992400.0
275,37.5,2125027200.0
276,37.6,2121092800.0
277,37.7,2117188400.0
278,37.8,2113314000.0
279,37.9,2109469200.0
280,38.0,2105654000.0
281,38.1,2101674400.0
282,38.2,2097063200.0
283,38.3,2092484000.0
284,38.4,2087936800.0
285,38.5,2083421200.0
286,38.6,2078937200.0
287,38.7,2074484400.0
288,38.8,2070062400.0
289,38.9,2065671200.0
290,39.0,2061310000.0
291,39.1,2056622400.0
292,39.2,2051966400.0
293,39.3,2047341200.0
294,39.4,2042746800.0
295,39.5,2038183200.0
296,39.6,2033650000.0
297,39.7,2029146800.0
298,39.8,2024673200.0
299,39.9,2020229200.0
300,40.0,2015814400.0
301,40.1,2011430800.0
302,40.2,2006462800.0
303,40.3,2001526400.0
304,40.4,1996621200.0
305,40.5,1991746800.0
306,40.6,1986903200.0
307,40.7,1982090000.0
308,40.8,1977306800.0
309,40.9,1972553600.0
310,41.0,1967830000.0
311,41.1,1962715600.0
312,41.2,1957632400.0
313,41.3,1952580000.0
314,41.4,1947558800.0
315,41.5,1942567600.0
316,41.6,1937606800.0
317,41.7,1932676000.0
318,41.8,1927774800.0
319,41.9,1922902800.0
320,42.0,1918060000.0
321,42.1,1913408800.0
322,42.2,1908218000.0
323,42.3,1903057600.0
324,42.4,1897927600.0
325,42.5,1892828000.0
326,42.6,1887758400.0
327,42.7,1882718400.0
328,42.8,1877708000.0
329,42.9,1872726800.0
330,43.0,1867774400.0
331,43.1,1862601200.0
332,43.2,1857458400.0
333,43.3,1852344800.0
334,43.4,1847260800.0
335,43.5,1842206000.0
336,43.6,1837180000.0
337,43.7,1832182400.0
338,43.8,1827213600.0
339,43.9,1822272800.0
340,44.0,1817360000.0
341,44.1,1812604000.0
342,44.2,1807348800.0
343,44.3,1802123200.0
344,44.4,1796926800.0
345,44.5,1791760000.0
346,44.6,1786621600.0
347,44.7,1781512400.0
348,44.8,1776431200.0
349,44.9,1771378400.0
350,45.0,1766353600.0
351,45.1,1761206400.0
352,45.2,1756087600.0
353,45.3,1750997200.0
354,45.4,1745934400.0
355,45.5,1740899600.0
356,45.6,1735892400.0
357,45.7,1730912400.0
