distance,N,S,W,E
20,179784.871907289,868154.7783785211,271074.96683414263,274187.7158828102
25,213148.08062005695,868154.7783785211,323596.0677820486,327236.39784226124
30,261715.3741837525,868154.7783785211,401360.0628201098,405736.6032863479
35,338946.79126138415,1010792.571854006,528322.1861315089,533785.5470571776
40,480841.73656535393,1209515.9995762876,772773.3896058236,779927.8337546047
45,827090.7736058489,1505499.620007694,1438235.5067049616,1447328.210941373
50,933157.6803009025,1993280.0624536353,1622266.3021157698,1633085.4610992274
55,1070430.734842513,2948634.989646518,1860303.167436152,1873545.5493198375
60,1255057.1139572838,3287329.8029508498,2180207.312479656,2197044.5583487693
65,1516646.0856459565,3713930.214704589,2632984.382691675,2655573.8469499005
70,1915992.4492382654,4267762.45192806,3323116.4213343277,3355975.1652808352
75,2095974.0643493205,5015721.674563827,3634330.946365029,3665251.889247514
80,2313275.0108161275,6081564.007295148,4009859.9702902324,4037319.266001151
85,2580845.161527036,6590171.650304771,4471937.395233093,4493459.753337649
90,2918409.5591575876,7191613.946097815,5054380.453589329,5065798.932248635
95,3357565.986088787,7913860.777796724,5811262.596744315,5805218.989953767
100,3609899.1042171316,8797372.375175137,6229092.233476253,6228370.328753798
105,3903241.7087265686,9902947.691629222,6711660.453824941,6718060.05656493
110,4248475.4139170665,10556796.611990739,7275276.656139254,7291321.617763808
115,4660705.208538002,11303090.952437079,7942230.834081557,7971544.804407689
120,5161528.602441771,12162927.948940424,8743811.57631225,8791745.814243522
125,5478497.080118908,13164352.93395301,9243568.274720507,9310413.660491826
130,5836942.601429945,14345476.29898637,9803915.728843728,9894115.665918263
135,6245576.364117934,15090270.624812916,10436584.105313545,10555901.615126912
140,6715732.621921452,15916637.123105243,11156540.341156458,11312562.99794953
145,7262436.352526172,16838753.225915767,11983187.290792724,12186077.613202885
150,7630865.514843744,17874283.83605355,12541739.153172681,12774584.007591614
155,8038673.820205673,19045523.93666725,13154906.357096447,13422816.661850097
160,8492531.217828386,19852657.71937569,13831111.118502751,14140353.851628488
165,9000704.112597095,20731230.366774485,14580601.20945111,14938937.60474251
170,9573563.405578114,21691165.556169815,15415972.919389432,15833121.267917743
175,9984005.661490155,22744314.2209164,16004285.435891462,16473576.72408894
180,10431217.669255648,23904946.285438515,16639282.541555725,17168029.707280353
185,10920372.19714928,24736695.921071604,17326750.694094546,17923609.652118374
190,11457660.024692442,25628411.88619737,18073473.856656622,18748758.864348497
195,12050553.335028574,26586821.752004053,18887458.123634387,19653549.308002666
200,12489210.988740498,27619698.53273976,19511546.07530297,20328886.668404248
205,12961010.610386161,28736071.966957536,20178286.15171639,21052287.62421865
210,13469855.628279883,29569325.387452006,20892205.52299991,21829072.510484435
215,14020287.50916736,30452345.197073773,21658495.554417748,22665376.98226476
220,14617621.676321046,31389727.11213076,22483138.251829438,23568314.41719033
225,15072732.309266377,32386650.680435285,23105918.378363643,24264303.222320292
230,15557092.795939695,33448975.03347544,23764183.292821534,25002648.92854394
235,16073616.581424344,34277678.02410102,24461054.71003064,25787339.5609221
