distance,N,S,W,E
20,185185.85685082068,832908.2872183784,268458.29567360156,271517.7126332113
25,219592.29030971415,832908.2872183784,320426.9846137912,324001.2012913081
30,269701.16693665396,832908.2872183784,397346.0133962804,401636.16200463526
35,349440.07593376515,971288.5508285868,522859.24082532444,528199.7998842815
40,496121.6889923658,1164811.5781745147,764278.7979754175,771229.8459178128
45,855031.1450162177,1454639.1111391413,1419878.770718952,1428494.5888468127
50,964016.2708377265,1936470.1425086148,1601592.988786805,1611931.640538451
55,1104843.286689427,2895602.190632676,1836644.3129401302,1849421.0567661184
60,1293854.2366087115,3231632.5768430005,2152555.4109534053,2168981.90796944
65,1560881.9539100735,3655893.674347742,2599718.7508041863,2622044.0258250628
70,1966791.5572290935,4208386.806822331,3281379.5483301673,3314354.2528504124
75,2151057.023068618,4957598.769053482,3588750.822080243,3620097.6723336754
80,2373418.7188203656,6031349.726604827,3959657.2922413526,3987982.088931343
85,2647053.1304202704,6538679.578496657,4416069.209255619,4439095.330537154
90,2992005.1444559605,7139196.487806148,4991406.188993551,5005283.891888556
95,3440333.931249709,7861172.029509751,5739112.717282662,5737017.097668652
100,3698393.765834558,8745600.660236193,6153097.3235501675,6155849.70782392
105,3998307.241056933,9854263.997082127,6631449.678594254,6640652.483452516
110,4351155.019219615,10503766.612577831,7190447.411305931,7208344.2684888365
115,4772307.79751827,11244929.104967173,7852361.8794521885,7882170.105366384
120,5283724.98372073,12098627.521862317,8648496.628618976,8694962.956629343
125,5608086.024702164,13092598.25276659,9145105.95846139,9210698.448286388
130,5974875.927981794,14264508.353161119,9702221.725021483,9791472.624463165
135,6393002.3060688665,15009494.886603594,10331619.357399853,10450416.349544074
140,6874053.840844179,15836585.645685343,11048341.81292005,11204450.238063257
145,7433391.067791805,16760145.115940109,11871917.432543647,12075758.193961844
150,7809491.364950005,17798096.13691883,12424069.411393147,12661699.840591997
155,8225678.272712683,18973094.482901137,13030086.783301286,13307403.5577202
160,8688721.50654609,19781493.982808057,13698256.031648524,14022503.650484545
165,9207006.04319098,20661847.31976665,14438655.197914975,14818822.901299635
170,9791044.434107013,21624208.61724103,15263665.72099809,15711031.386690125
175,10210129.963313352,22680596.658949096,15851216.148653967,16340614.111467168
180,10666695.955797933,23845499.42544928,16485811.110662227,17022761.33667429
185,11166005.812190492,24688604.173797023,17173336.45200591,17764342.83986505
190,11714356.853849996,25593513.410474334,17920702.601636242,18573480.027778815
195,12319347.308145823,26567281.64730186,18736077.660491556,19459844.58789961
200,12768295.50503523,27618079.485562403,19352224.53557243,20136761.9552913
205,13251202.877450442,28755423.42517111,20010274.10621741,20862470.13328425
210,13772073.971941924,29594227.993677884,20714651.395334966,21642441.450790185
215,14335568.731189722,30483439.318659034,21470427.215183828,22482998.381840788
220,14947142.294158451,31427741.83481423,22283440.43677989,23391485.307759568
225,15417600.83054586,32432418.981953327,22906595.44335182,24091759.35594344
230,15918636.982382104,33503452.111327995,23565606.13275553,24835255.754573926
235,16453331.98675632,34334223.26099287,24263658.82096958,25626103.589650642
