distance,N,S,W,E
20,188281.29688675838,819631.8986734156,266691.34388614463,269718.9911134915
25,223402.94647634515,819631.8986734156,318291.2926801811,321829.2584325261
30,274632.3671618047,819631.8986734156,394648.66809657967,398896.9806983225
35,356347.9329350441,954198.1638362542,519204.73219972267,524497.1146188002
40,507289.5447714382,1141629.669449359,758641.4918530725,765542.3685751142
45,880068.2457675814,1420694.1873215116,1407917.600531931,1416553.634531247
50,992636.1929046286,1880329.4249655404,1588134.6572684795,1598444.860279373
55,1138224.433962757,2779614.1799570336,1821260.6871303136,1833928.7406168024
60,1333859.2771954008,3100661.329985329,2134604.2812199965,2150783.4873470976
65,1610702.298967371,3505555.103910048,2578172.8172646207,2599994.244305106
70,2032561.177043526,4032075.809499875,3254442.580033895,3286385.9345995863
75,2222802.7062237225,4744713.233695657,3559615.583974712,3589726.1197806974
80,2452333.6599799357,5763337.417948666,3927943.58947197,3954758.4650392397
85,2734726.9077680763,6248186.291193973,4381294.029517928,4402433.456329928
90,3090620.7419762705,6822105.521567604,4952947.023360041,4964398.797039023
95,3553004.117325628,7512121.960430761,5696157.989361956,5690825.882853496
100,3818798.2336593666,8357427.299856141,6107513.328599009,6106274.668027631
105,4127575.008391148,9417090.152763963,6582906.334451609,6587158.659029456
110,4490678.001768266,10041089.83581663,7138552.7784634875,7150258.953246013
115,4923827.356639684,10753653.512562087,7796648.088578771,7818631.116406896
120,5449455.8434916055,11575076.184771318,8588403.54207468,8624840.10484886
125,5782634.185667737,12532366.662967905,9079950.009105517,9136957.92501912
130,6159206.502336727,13662274.122703006,9631178.381599454,9713730.901013277
135,6588240.930286629,14380897.68750685,10253660.74304713,10368228.147643676
140,7081521.436007586,15179316.334166674,10962167.605587238,11117295.567025835
145,7654646.810398604,16071601.841716474,11775854.956687426,11983026.386600759
150,8041272.516325486,17075341.357680693,12326383.066385783,12562629.885683237
155,8469031.684672143,18212808.27228011,12930910.708338179,13201152.574111288
160,8944857.467666086,18995990.024900418,13597792.58631412,13908059.623211848
165,9477333.905865658,19849554.657721348,14337200.621122262,14694958.309273235
170,10077218.407547986,20783436.289692882,15161646.436492784,15576240.342218505
175,10504955.249473013,21809530.86078073,15743232.216997387,16207544.96206744
180,10970613.052165879,22942205.566363547,16371215.88679283,16892184.775917392
185,11479468.536839629,23763479.446075045,17051380.437147167,17637216.85142621
190,12037825.054702511,24645735.457556643,17790511.56732326,18451000.712941606
195,12653275.026143793,25596027.662296914,18596624.855179098,19343513.353970673
200,13108837.741014479,26622541.71819692,19213272.116814256,20026148.00825064
205,13598429.359319549,27734831.27000955,19872216.85555179,20758725.6559687
210,14126010.561215227,28559325.309987657,20577965.57266721,21546935.309573445
215,14696181.48969045,29434341.97375517,21335688.52396209,22397364.13247378
220,15314316.23250486,30364671.860016704,22151346.595617197,23317681.966187164
225,15790137.124012157,31355731.000434794,22767020.982178126,24004649.764886744
230,16296473.983020453,32413666.369472243,23417897.887294088,24733324.135721646
235,16836359.69903356,33226094.237860974,24107085.33552617,25507622.058714744
