distance,N,S,W,E
20,193035.05061214836,824741.3074232045,263829.9233308923,266804.165531837
25,229099.5975662497,824741.3074232045,314839.7560024437,318318.0238799064
30,281736.06748287135,824741.3074232045,390302.19576685363,394483.9683958853
35,365773.97522036737,959145.6984606237,513342.909903214,518564.0263834445
40,521257.86855521915,1145885.5213759013,749673.5545063695,756517.1475744713
45,906664.5511134332,1422919.2236271137,1389251.134894438,1398030.407283461
50,1022687.2063551769,1876617.5089376827,1567179.9126771989,1577570.3804584553
55,1172761.324337845,2755073.712605403,1797379.9125296238,1810019.4304146108
60,1374455.6648186233,3070904.808401665,2106851.170571852,2122807.048498806
65,1659935.3829473846,3468522.9969491623,2545056.755503569,2566283.9736376046
70,2095094.5677541879,3984422.721557629,3213418.0263614645,3243987.368479764
75,2291174.132776361,4680604.521664402,3515041.546661259,3543696.851928579
80,2527745.421943917,5671575.609039128,3879153.506862047,3904423.520559432
85,2818795.341891618,6147142.703280881,4327416.836316498,4346912.64498979
90,3185590.982100267,6709762.796177841,4892815.953944394,4902515.770342912
95,3662124.842573567,7385746.695084932,5628164.383945994,5620962.278070017
100,3935759.7916387767,8213195.949074335,6035037.548350332,6031906.396046371
105,4253589.109111794,9249440.938260905,6505322.5260214005,6507677.569480178
110,4627260.005502195,9865154.89526375,7055096.378503693,7064929.196647127
115,5072906.614345185,10568688.09363734,7706372.646780568,7726552.974309069
120,5613540.913887622,11380271.804810813,8490120.08705157,8524901.769606367
125,5955783.292600685,12326868.547396746,8977361.46522372,9030245.025460718
130,6342466.275466819,13445225.554267393,9523932.534433095,9599275.529384788
135,6782846.883055887,14151438.151843652,10141372.388101375,10244842.495910512
140,7288944.964247893,14935951.357900482,10844419.895997284,10983500.879326435
145,7876657.038885094,15812551.707855213,11652205.438371168,11836951.107910492
150,8273886.907270157,16798464.098331086,12196387.907238845,12415587.167735595
155,8713310.265809001,17915494.97370252,12793889.41590972,13053702.765715366
160,9202026.824023487,18693564.91954564,13452949.946817085,13760965.890644934
165,9748823.789067663,19542286.417724088,14183599.584998429,14549259.845909214
170,10364708.90679015,20471740.278127447,14998172.551638251,15433356.32558813
175,10804542.860609861,21494020.8994183,15582224.938374978,16060266.629694844
180,11283360.460641615,22623765.448973037,16213608.301480763,16740264.153898127
185,11806584.877301633,23432820.85266695,16898319.090898946,17480390.22718609
190,12380694.11346026,24301888.114862554,17643411.35489142,18288989.035096828
195,13013490.575048573,25237901.499580882,18457240.656729076,19176023.56904463
200,13485544.72885225,26248906.389345806,19071118.100171242,19850689.189509843
205,13993134.70433355,27344291.12384202,19727234.83573144,20574559.165752918
210,14540430.101525025,28168331.020027418,20430105.754162285,21353220.033953886
215,15132279.393039469,29043580.21620596,21184912.971764386,22193137.303713806
220,15774353.9495665,29974965.334326576,21997633.81488892,23101835.405907236
225,16259672.916211449,30968065.891972985,22604068.650983397,23786264.705649525
230,16775802.78748817,32029226.163871538,23244888.02165151,24512486.839417953
235,17325773.839655854,32848654.260798484,23923101.628535073,25284450.31004048
