distance,N,S,W,E
20,182264.74368418346,855510.8403667291,269898.4420842829,273011.03803589544
25,216050.0179114101,855510.8403667291,322169.2665593593,325808.9529948735
30,265210.4111201847,855510.8403667291,399549.3958305808,403924.3402739895
35,343332.9913402548,997889.020321539,525850.6861660937,531310.3956234151
40,486699.12600080285,1197119.3043870626,768910.4507205863,776056.0209283248
45,835637.8131211633,1495748.0030367735,1429791.6135618761,1438860.1608183612
50,942573.7501115756,1992885.3985782773,1612793.0813800714,1623601.3620549645
55,1080895.0725239012,2985001.6941851117,1849515.7585580633,1862770.113682362
60,1266795.4573672304,3327369.31581507,2167684.306120586,2184574.4393697223
65,1529923.011400713,3758448.113583932,2618064.8353044866,2640785.4142349847
70,1931016.7382323314,4317848.934801742,3304679.190782998,3337835.145370978
75,2112005.5587710813,5072888.801135207,3614509.0341098653,3645532.3889874755
80,2330430.299992947,6147948.735228263,3988445.295275406,4015720.249730256
85,2599245.6737515186,6659703.783946723,4448680.082789063,4469587.2783038225
90,2938163.0866925,7264391.490574249,5028984.83731391,5039121.779305859
95,3378716.191038248,7989854.17711177,5783395.555995678,5774997.38713571
100,3632772.547829715,8876290.052173179,6199714.840587453,6196286.791876762
105,3928141.9664263315,9983962.669091411,6680621.150948352,6683879.686883148
110,4275793.40793946,10638967.433809523,7242408.252516917,7254765.480600057
115,4690956.004108745,11385950.583723757,7907353.813668414,7932280.070341817
120,5195409.697853345,12245749.081952732,8706744.105270611,8749374.562669
125,5515182.282866536,13246007.921539593,9205926.34434161,9266420.808995074
130,5876899.952700221,14424207.913465427,9765828.907393381,9848415.101746647
135,6289394.985917376,15169407.42267243,10398248.24533313,10508415.088060563
140,6764166.5725510465,15995800.28919172,11118248.068076227,11263230.11624231
145,7316469.598109003,16917420.71992497,11945374.660481505,12134872.925606648
150,7687417.711339491,17951735.071829446,12500304.792120058,12721760.029071668
155,8097989.200009489,19120759.36696134,13109306.114785546,13368300.21447123
160,8554890.909808405,19930977.313153744,13780686.235866362,14084075.447637737
165,9066433.839900797,20812897.466861177,14524546.490244426,14880835.967957852
170,9643043.249769377,21776478.68662611,15353293.676277341,15773150.38012343
175,10057501.066631807,22833613.63444145,15944459.02685247,16408213.679647608
180,10509185.668293968,23998622.104891505,16582972.08556426,17096560.5139084
185,11003348.487215996,24836851.481599238,17274758.418204244,17845190.475106232
190,11546277.423854927,25735755.86466131,18026775.41424069,18662385.30046176
195,12145565.826539103,26702170.55565097,18847247.099227108,19558016.53093789
200,12588707.158995103,27743997.616183452,19466607.78090081,20236546.825707905
205,13065409.783067245,28870422.423762016,20128058.6583565,20963849.99015895
210,13579636.400982358,29700445.436290514,20836041.161741532,21745380.771241892
215,14135999.128472641,30579607.420858823,21595644.39216177,22587438.82428528
220,14739898.211613724,31512405.170566097,22412727.64664193,23497338.892136957
225,15203196.627919944,32503901.421158325,23037860.725877065,24197642.44448012
230,15696564.588183321,33559816.77653645,23698866.63775052,24940971.333944056
235,16223027.691797977,34394634.411290795,24398924.402010147,25731416.31884312
