distance,N,S,W,E
20,177737.0751034167,874542.8602810324,272011.563325184,275162.6273778422
25,210721.00451110894,874542.8602810324,324732.14885834977,328417.9368027955
30,258736.5878969263,874542.8602810324,402802.25097396225,407234.62030149275
35,335091.6848888087,1018224.1515024701,530291.7179641314,535827.2525624778
40,475379.81376576546,1218398.5306656444,775854.6282448544,783110.288865549
45,817725.4359114817,1516537.0763825937,1444986.501540992,1454237.5514434038
50,922294.8354157095,2007852.75442302,1629859.0175157175,1640876.014961019
55,1057530.0605021254,2970073.733267087,1868977.1772247544,1882474.9409718914
60,1239238.426540399,3309334.990117596,2190321.2871986167,2207502.7196532534
65,1496345.5421118445,3736096.364465315,2645110.513072362,2668192.3165617874
70,1888066.16229145,4289220.701159452,3338251.1293698004,3371878.604915217
75,2065513.1268459011,5034584.573214861,3650817.4590215837,3682435.6039861185
80,2279774.158810848,6093486.6769521,4027962.696853818,4056001.76190384
85,2543631.666529288,6598245.958655384,4492006.39049288,4513917.983561443
90,2876560.2683742237,7194182.323958134,5076892.645038598,5088389.114051384
95,3309765.977259991,7908453.188995305,5836890.961078985,5830405.1268940745
100,3558907.006249727,8780190.053953998,6256135.603705392,6255168.419522974
105,3848609.1973388214,9867915.492768422,6740266.752404477,6746685.6186431525
110,4189655.592457357,10514043.711695256,7305611.61844136,7322034.801272583
115,4597023.048769565,11250714.395525346,7974476.763256141,8004662.750951756
120,5092140.691471016,12098393.157878794,8778161.155340927,8827658.937763847
125,5405787.0533958655,13084216.075358234,9280028.217688149,9348214.108432567
130,5760607.07110615,14244948.451874357,9842760.818509223,9934009.269670153
135,6165277.837822892,14981312.832539065,10478146.222205114,10598128.914819619
140,6631098.857316505,15797956.90769335,11201225.369892428,11357407.169389155
145,7173063.702131941,16708765.9163039,12031498.747988671,12233874.613584524
150,7537791.791625996,17731023.142637502,12590060.040637702,12825189.62468215
155,7941597.443342179,18886517.13407224,13203008.57611103,13476569.338781115
160,8391116.3894663,19686795.369796857,13878694.426332891,14197655.337938925
165,8894576.917489108,20557894.88109724,14627269.17359682,15000269.414761374
170,9462308.125604855,21509651.984260757,15461199.449361308,15899066.749814395
175,9866229.540684108,22553812.9656059,16050771.039708814,16538412.350203237
180,10306173.376702849,23704521.320264332,16687088.643800097,17231332.03529964
185,10787183.35158371,24533096.006282736,17375941.369550757,17984854.15165417
190,11315290.883313749,25421693.21475996,18124115.395500366,18807292.657095402
195,11897769.309648203,26377080.16622695,18939618.28906503,19708555.15901544
200,12333694.748671267,27407081.096380435,19567941.676247146,20382781.056650568
205,12802779.073914105,28520792.01980267,20239384.928080607,21104771.23899461
210,13308955.237209043,29352076.265737377,20958544.53776058,21879787.754484016
215,13856803.772971459,30233273.53310841,21730694.370223235,22713895.056601252
220,14451691.805410597,31169018.369879518,22561915.2128862,23614119.013204426
225,14904889.417351846,32164537.422327265,23185073.06778395,24320745.60212509
230,15387431.339135373,33225747.111009166,23843631.807589106,25070966.760623377
235,15902262.970531031,34058129.95156962,24540696.248494685,25868945.175266273
