distance,N,S,W,E
20,199136.1525473338,816906.0705276032,260935.3854392821,263879.33352720446
25,236354.765324286,816906.0705276032,311363.6718965412,314810.1195243934
30,290683.6323578817,816906.0705276032,385952.7784621288,390103.08119620953
35,377443.33281541645,950194.3299322816,507536.24703172717,512733.19506321714
40,538027.0867161688,1135458.2980036095,740952.2111010781,747809.40004138
45,936434.2482424141,1410463.0832181664,1371879.8929728097,1380936.6112629464
50,1056441.3433236359,1861253.3833195579,1547667.6354447743,1558350.8539211028
55,1211728.2617524036,2735546.148512273,1775125.86231955,1788071.2511120688
60,1420533.2595889622,3050412.679753249,2080961.4203013007,2097229.027776405
65,1716283.148804935,3447190.862406798,2514117.4788673995,2535641.8724665805
70,2167561.64784069,3962623.6121470514,3174999.6699361163,3205793.259798332
75,2369752.979763231,4659292.950511023,3473239.5664810045,3502392.1455362714
80,2613545.972577362,5653179.044732569,3833317.8109573578,3859468.8733911705
85,2913252.551451561,6129136.263629515,4276691.669592043,4297620.961039114
90,3290599.8115804084,6692605.774578406,4836044.070223521,4847997.238338379
95,3780246.971247283,7370166.877380533,5563729.294659742,5560046.463191997
100,4062078.6772787813,8200374.909035764,5967129.562351783,5966841.036186126
105,4389319.006645751,9241362.669458052,6433600.140143657,6437859.842011659
110,4773903.84369353,9858104.90100179,6979186.6204324,6989615.871911036
115,5232354.006440025,10563052.98065391,7625881.768149472,7644813.745939584
120,5788210.63778111,11376586.94050117,8404662.24622435,8435551.855637781
125,6142714.875451937,12325889.137204487,8890019.928396434,8937245.293648496
130,6543476.03069344,13448040.677300248,9434870.73341488,9502387.382364599
135,7000179.644330312,14159801.886007374,10050867.466176745,10143827.044729875
140,7525418.1649482595,14951116.00017162,10752918.71672517,10878133.71262474
145,8135869.971145169,15836109.824107442,11560411.329480004,11727049.045131736
150,8545445.70148093,16832465.40910172,12101686.707860092,12304896.24535938
155,8998445.167349314,17962613.56717417,12696138.494361592,12942641.434959875
160,9502160.698571086,18736858.600762215,13352007.80277688,13650106.974440956
165,10065614.290275661,19580854.91654605,14079331.418912008,14439387.028699582
170,10700102.75228288,20504472.901542056,14890459.054976221,15325544.680008037
175,11152990.496139685,21519537.458754286,15475003.68268093,15953070.24248836
180,11645910.055151545,22640336.991303332,16107317.703040056,16634179.669354416
185,12184414.618820405,23448905.72327928,16793506.193517316,17376042.270873886
190,12775134.286244059,24317367.30374677,17540760.85340062,18187166.027602386
195,13426050.41854694,25252632.31039826,18357613.017167855,19077725.339437008
200,13913858.49260062,26262716.990794435,18965509.10471793,19751763.09376582
205,14438450.035502097,27356973.605357163,19615043.901744213,20475174.311120402
210,15004148.576705664,28192602.54854888,20310647.27753792,21253590.165008247
215,15615982.859568175,29080889.133319076,21057400.586201143,22093532.004798755
220,16279836.73872953,30026972.66548245,21861161.00243576,23002594.49201015
225,16778565.88898827,31036683.724526197,22475554.900318075,23684345.732279435
230,17308817.638522558,32116664.434550993,23125481.720446635,24407742.7785218
235,17873678.13767493,32933295.75896902,23814115.77685453,25176721.851331767
