distance,N,S,W,E
20,191637.91659807132,820542.9747021659,264521.0221016508,267490.7978289057
25,227434.2447511264,820542.9747021659,315669.2419690739,319142.97555133275
30,279675.1833836658,820542.9747021659,391339.24125929736,395516.8408211785
35,363071.60083754145,954284.8723999794,514725.63105700625,519944.32617055834
40,517336.22872869816,1140114.3273212914,751745.4537834527,758593.9216682711
45,899539.3692336789,1415819.097142861,1393354.5553801889,1402182.701735784
50,1014987.9595251834,1867396.7953532145,1571795.6406045977,1582242.1497147419
55,1164433.575054702,2741944.1311392207,1802653.991219902,1815359.1018477583
60,1365486.1215586076,3056996.157227831,2113002.3798059523,2129037.1664248924
65,1650455.8830745458,3453846.446153073,2552434.4120209804,2573760.2741966746
70,2085738.528284802,3969103.889886364,3222631.181690392,3253331.083405265
75,2281396.2194117806,4665053.654392617,3525205.826470877,3553691.9815049837
80,2517562.1590163275,5656954.086764264,3890485.7062403522,3915155.202653003
85,2808268.9995452976,6132136.253679137,4340216.54645318,4358477.006033762
90,3174877.0146397906,6694469.33933243,4907513.34908637,4915015.198999328
95,3651575.1999810394,7370349.884269617,5645407.823618089,5634488.555026822
100,3924579.1318492973,8198031.6326550245,6053481.858889669,6046230.85270968
105,4241702.983589578,9235125.523726694,6525147.188889633,6522893.677390291
110,4614582.224951517,9848975.792359367,7076524.269489979,7081145.396322333
115,5059338.056151894,10550240.542295776,7729685.208357487,7743894.580101747
120,5598969.659486656,11359023.390961535,8515679.739255648,8543511.749606915
125,5940078.376353158,12302104.35329125,9003760.37633379,9051109.269809417
130,6325446.596463321,13415962.31589776,9551191.936460886,9622832.721464233
135,6764286.072820388,14123760.62056551,10169500.899663618,10271653.196932327
140,7268555.458828321,14910402.484326111,10873405.067711486,11014293.024959125
145,7854066.677370185,15789838.816382948,11682000.169008223,11872687.526176192
150,8251191.641256555,16779518.199951462,12226436.984002924,12449686.649477527
155,8690614.974367555,17901556.33096548,12824101.140759908,13085633.57240226
160,9179474.711136622,18674489.397679433,13483199.543344637,13790047.9744045
165,9726610.715682706,19517180.02942393,14213717.6921702,14574615.977262856
170,10343104.009752683,20439517.98224369,15027929.105063802,15453843.608594114
175,10778237.006242044,21453355.2116593,15612050.748840183,16084603.832986163
180,11251589.881328212,22573017.91415127,16243417.2891776,16769044.988715228
185,11768429.503378358,23388244.874592815,16928002.187596608,17514324.423295405
190,12335037.063847017,24264562.135832336,17672830.229122125,18328931.062362146
195,12958964.60837121,25209103.847286485,18486219.457277082,19223010.17934565
200,13426485.428884914,26230159.989555128,19093878.699368216,19896742.08663003
205,13929002.318920426,27337420.331383716,19742844.3721847,20619415.486541297
210,14470597.48804829,28156786.276278045,20437476.451114126,21396564.214717243
215,15056013.738277312,29026786.445076425,21182770.89327736,22234589.06688249
220,15690793.720986651,29952264.037322756,21984479.98824716,23140934.497709647
225,16171583.851306986,30938700.26877239,22597467.12516889,23819297.923127428
230,16682769.654847974,31992323.010149367,23245618.228655376,24538634.123697583
235,17227327.653009407,32810770.180997092,23932048.415876023,25302770.794126987
